match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77955578,1777023878,2026-04-24 09:44:38 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,103,103,7,64,2,31,11,80,58,65,79,1,14,35
77955430,1777023777,2026-04-24 09:42:57 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,23,23,65,6,69,58,11,35,2,60,12,76,1,31
77955275,1777023656,2026-04-24 09:40:56 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,33,33,63,52,76,20,11,69,64,80,27,79,8,2
77955262,1777023644,2026-04-24 09:40:44 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,31,33,1,25,12,79,2,7,27,17,52,76,10,35
77955261,1777023644,2026-04-24 09:40:44 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,23,23,52,50,1,19,79,2,76,27,81,77,11,10
77955240,1777023634,2026-04-24 09:40:34 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,84,84,8,13,80,67,25,18,65,12,20,15,4,1
77955179,1777023595,2026-04-24 09:39:55 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,82,83,52,31,20,65,77,11,10,12,1,19,69,2
77955136,1777023566,2026-04-24 09:39:26 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,13,25,81,27,63,69,72,11,80,79,1,10,7,66
77955021,1777023490,2026-04-24 09:38:10 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,101,96,65,4,35,80,79,31,66,16,7,1,67,20
77954993,1777023469,2026-04-24 09:37:49 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,94,94,77,79,13,2,18,6,65,67,64,66,11,76
77954759,1777023334,2026-04-24 09:35:34 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,82,82,13,18,7,15,10,76,1,8,63,11,2,25
77954660,1777023268,2026-04-24 09:34:28 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,12,12,11,50,52,66,67,81,60,10,77,17,3,6
