name,selected,architecture,activation,embedding_dim,hidden_dim,dropout,best_epoch,validation_log_loss,test_accuracy,test_log_loss,features
neural_teamcomp_heroes_only,false,pool,relu,16,96,0.40,12,0.6700,0.5885,0.6741,heroes_only
neural_teamcomp_heroes_ppscore_partial,false,pool,relu,16,96,0.40,15,0.6680,0.6005,0.6687,heroes_plus_relative_partial_ppscore_all_matches
context_relu_reference,false,pool,relu,16,96,0.40,15,0.6674,0.5905,0.6720,heroes_plus_partial_ppscore_and_lobby_level
context_gelu_balanced,false,pool,gelu,16,96,0.35,21,0.6647,0.5845,0.6700,heroes_plus_partial_ppscore_and_lobby_level
context_silu_balanced,false,pool,silu,16,96,0.35,27,0.6625,0.5885,0.6690,heroes_plus_partial_ppscore_and_lobby_level
neural_teamcomp_heroes_ppscore_context,true,pool,gelu,24,128,0.40,12,0.6610,0.5925,0.6641,heroes_plus_partial_ppscore_and_lobby_level
context_relu_lower_reg,false,pool,relu,16,96,0.30,11,0.6668,0.5875,0.6719,heroes_plus_partial_ppscore_and_lobby_level
pool_medium_less_dropout,false,pool,relu,16,128,0.35,15,0.6712,0.5885,0.6743,heroes_only
pool_balanced,false,pool,relu,16,96,0.30,12,0.6706,0.5845,0.6746,heroes_only
mean_regularized,false,mean,relu,16,96,0.35,22,0.6696,0.5785,0.6746,heroes_only
matchup_regularized,false,matchup,relu,16,96,0.40,19,0.6722,0.5810,0.6769,heroes_only
heroes_only_complete,false,pool,relu,16,96,0.40,7,0.6864,0.5444,0.6854,heroes_only_complete_ppscore_subset
heroes_ppscore_complete_legacy,false,pool,relu,16,96,0.40,7,0.6892,0.5519,0.6864,legacy_relative_ppscore_complete_subset
heroes_only_silu_balanced_complete,false,pool,silu,16,96,0.35,5,0.6860,0.5519,0.6867,heroes_only_complete_ppscore_subset
context_gelu_balanced_complete,false,pool,gelu,16,96,0.35,6,0.6888,0.5556,0.6845,heroes_plus_complete_ppscore_and_lobby_level
context_silu_balanced_complete,false,pool,silu,16,96,0.35,6,0.6882,0.5630,0.6845,heroes_plus_complete_ppscore_and_lobby_level
context_gelu_medium_complete,false,pool,gelu,24,128,0.40,1,0.6948,0.5759,0.6899,heroes_plus_complete_ppscore_and_lobby_level
context_relu_lower_reg_complete,false,pool,relu,16,96,0.30,4,0.6877,0.5463,0.6880,heroes_plus_complete_ppscore_and_lobby_level
heroes_only_silu_tiny_complete,false,pool,silu,8,32,0.35,9,0.6903,0.5852,0.6821,heroes_only_complete_ppscore_subset
context_silu_tiny_complete,false,pool,silu,8,32,0.35,1,0.6932,0.5259,0.6925,heroes_plus_complete_ppscore_and_lobby_level
