name,architecture,embedding_dim,hidden_dim,use_badge,use_pp_score,best_epoch,test_accuracy,test_log_loss,validation_accuracy,validation_log_loss
large_heroes_only,mean,32,256,false,false,,0.5525,0.6796,,
large_matchup,matchup,24,192,false,false,,0.5600,0.6797,,
large_strong_regularized,mean,32,256,false,false,,0.5555,0.6805,,
medium_badge_ppscore_reference,pool,16,128,true,true,,0.5600,0.6781,,
medium_heroes_only,mean,16,128,false,false,,0.5550,0.6797,,
medium_long_regularized,mean,16,128,false,false,,0.5550,0.6791,,
medium_matchup,matchup,16,128,false,false,,0.5515,0.6791,,
medium_no_swap,mean,16,128,false,false,,0.5560,0.6805,,
medium_pool,pool,16,128,false,false,,0.5630,0.6789,,
medium_ppscore_reference,pool,16,128,false,true,,0.5590,0.6791,,
medium_random_split,mean,16,128,false,false,,0.5680,0.6780,,
medium_with_badge_reference,mean,16,128,true,false,,0.5615,0.6801,,
regularized_matchup_light,matchup,8,96,false,false,15,0.5545,0.6843,0.5500,0.6858
regularized_mean,mean,16,96,false,false,12,0.5610,0.6811,0.5633,0.6784
regularized_pool,pool,16,96,false,false,14,0.5595,0.6807,0.5767,0.6783
regularized_pool_badge,pool,16,96,true,false,12,0.5515,0.6802,0.5758,0.6789
regularized_pool_conservative,pool,16,96,false,false,14,0.5595,0.6807,0.5767,0.6783
regularized_pool_medium,pool,16,128,false,false,9,0.5585,0.6805,0.5742,0.6793
regularized_pool_small,pool,8,64,false,false,14,0.5660,0.6805,0.5625,0.6856
tiny_heroes_only,mean,8,64,false,false,,0.5545,0.6819,,
